Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Брынза,6591,547,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2004-01-04,2028-02-14,5.01,Backorder
2,Ессентуки,7728,247,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",1995-01-14,2028-03-01,0.21,Backorder
3,Кофеварка,3249,480,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2016-04-21,2026-01-23,2.04,Returned
4,Каша из поленты,3797,908,Бакалея,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2017-02-16,2027-08-07,2.62,Temporarily Unavailable
5,Апельсин,3967,809,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2014-03-02,2015-03-01,4.08,Awaiting Payment
6,Молочный шоколад,3639,648,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1993-01-10,2006-01-03,3.64,Awaiting Review
7,Симферопольская,5960,78,Напитки,"Является источником антиоксидантов, замедляющих процессы старения.",2011-03-03,2023-02-13,0.01,Sold
8,Сервелат,5019,626,Мясо,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1991-09-06,2010-01-01,1.48,In Stock
9,Нектарин,3041,562,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2022-02-15,2028-02-06,3.67,Sold
10,Сельдерей,7872,44,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2016-02-01,2018-06-23,0.79,New
11,Волжанка,6837,765,Напитки,Помогает поддерживать нормальный уровень pH в организме.,2007-04-18,2013-10-12,4.01,In Stock
12,Джем,7226,993,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1994-08-04,2019-05-02,1.84,Available for Pickup
13,Черника,8612,80,Фрукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2010-04-05,2013-02-01,1.6,Backorder
14,Сорго,1728,73,Бакалея,"Обладает мягким вкусом, который нравится многим потребителям.",2014-02-03,2020-07-03,4.3,Sold
15,Катык,2383,277,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2011-01-01,2015-11-07,4.54,New
16,Волжанка,3717,359,Напитки,Подходит для использования в качестве замены традиционных молочных продуктов.,1996-07-15,2019-03-19,3.51,Returned
17,Цукини,2416,961,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1997-03-23,2011-03-20,2.71,Delivered
18,Дезодорант,9934,876,Товары для дома,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1993-04-01,2012-04-08,0.05,Shipping
19,Шубат,8077,949,Молочные продукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2000-01-09,2005-02-01,1.99,New
20,Консервированные бобы,3633,425,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2009-01-24,2012-02-01,0.78,Awaiting Payment
21,Тушенка,229,959,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2002-05-01,2016-01-02,4.04,Sold
22,Свекла,6530,965,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2010-03-01,2013-03-01,2.83,Available for Pickup
23,Сырой арахис,234,466,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2015-03-01,2019-03-02,1.27,Awaiting Review
24,Ласси,4936,527,Молочные продукты,Помогает поддерживать нормальный уровень электролитов в организме.,2020-04-06,2021-03-03,3.76,Delivered
25,Ласси,4493,793,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2018-01-08,2028-06-01,0.35,Sold
26,Петрушка корневая,633,578,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2021-03-12,2023-06-04,3.81,Sold
27,Челябинская,1300,985,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2004-02-26,2021-03-15,0.62,Refunded
28,Простокваша,3444,132,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2016-02-03,2025-05-10,4.81,Backorder
29,Сэндвичи с ветчиной,8467,560,Мясо,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1996-06-08,2021-03-05,0.62,Refunded
30,Сковороды,435,87,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2008-01-01,2018-07-02,0.18,Returned
31,Боржоми,8724,301,Напитки,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2004-02-01,2030-03-12,2.14,Out of Stock
32,Зельц,6012,480,Мясо,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2011-01-06,2028-01-02,1.02,Refunded
33,Пакеты для Всемирного дня поэзии,2765,672,Товары для дома,Поддерживает иммунитет и общее состояние здоровья.,2005-04-05,2028-02-01,1.39,On Backorder
34,Масло оливковое,6139,419,Бакалея,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2022-02-04,2024-06-10,4.38,New
35,Эндивий,5419,632,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2005-01-02,2025-03-01,4.81,Temporarily Unavailable
36,Лен семена,4384,62,Бакалея,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2002-04-03,2004-05-01,3.24,Awaiting Payment
