product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Каша из кускуса,5949,69,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2007-01-07,2015-01-01,3.86,Out of Stock
2,Ессентуки,2289,215,Напитки,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2002-03-05,2012-04-20,4.33,New
3,Карамбола,7834,31,Фрукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1993-05-01,2009-01-09,3.21,New
4,Варенец,8994,496,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2020-02-10,2027-03-12,1.01,Temporarily Unavailable
5,Мацони,6340,62,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1999-01-11,2023-03-10,1.86,Awaiting Review
6,Смородина,2795,990,Фрукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2003-03-15,2025-03-01,1.41,Returned
7,Помидор,2435,996,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1992-01-06,2026-05-04,2.57,Out of Stock
8,Сыр,6147,950,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2020-04-01,2021-09-01,1.31,New
9,Пармезан,8224,524,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2003-01-01,2010-04-14,4.28,Out of Stock
10,Моцарелла,922,254,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,2004-01-04,2004-08-06,4.35,Returned
11,Безалкогольный мохито,5094,201,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1994-03-09,2026-03-23,2.38,Out of Stock
12,Шаурма,5998,933,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2015-02-19,2021-05-09,0.38,On Backorder
13,Ряженка,8304,99,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2007-08-15,2025-07-06,4.04,Backorder
14,Черешня,149,619,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2009-03-19,2026-09-13,0.72,Delivered
15,Пармезан,2794,307,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2005-09-01,2030-04-10,3.92,Pending
16,Творог,9195,508,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1992-01-14,1997-02-28,3.84,Cancelled
17,Кавказская,3808,924,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2000-03-05,2023-06-01,1.22,Sold
18,Черешня,916,298,Фрукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1990-12-05,1998-05-02,4.48,Awaiting Review
19,"Орехи (грецкий орех, миндаль, фундук)",6362,106,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2002-06-05,2017-01-19,1.18,Delivered
20,Пакеты для Пасхи,9235,620,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,1994-01-02,2019-02-21,1.92,Pending
21,Шалфей сушеный,1245,174,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2000-01-03,2023-07-02,0.8,New
22,Картофель,7035,778,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2011-05-15,2020-05-09,1.53,Awaiting Payment
23,Шпинат,5010,563,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1996-05-16,2030-02-14,2.12,Delivered
24,Пастернак,981,177,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2018-02-09,2030-03-02,3.19,Sold
25,Каймак,1315,153,Молочные продукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2006-07-24,2030-02-01,0.72,In Stock
26,Тако с мясом,475,482,Мясо,Служит основой для создания множества кулинарных шедевров.,1995-01-07,2030-01-09,4.11,In Stock
27,Масло сливочное,7956,356,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2017-03-10,2021-06-26,1.47,New
28,Миргородская,6808,667,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1990-04-07,2012-08-14,4.82,On Backorder
29,Ласси,7269,581,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2019-08-14,2021-01-01,4.44,Pending
30,Наборы столовых приборов,3941,369,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2020-04-15,2030-02-09,1.07,Pending
31,Капуста белокочанная,9617,333,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1991-03-21,2010-04-08,0.34,New
32,Чизбургеры,7873,557,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2020-02-08,2021-03-06,3.33,Sold
33,Pepsi Max,697,113,Напитки,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2003-03-09,2024-02-17,0.34,Cancelled
34,Ножи столовые,8891,364,Товары для дома,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2005-05-14,2012-08-03,2.24,Available for Pickup
35,Лук-порей,6223,922,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,2011-02-07,2017-04-12,4.41,Sold
36,Крыжовник,7668,878,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2012-02-07,2013-03-03,0.67,On Backorder
37,Окра,4465,207,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-01-24,2029-04-02,4.5,New
38,Каймак,2718,84,Молочные продукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1995-02-01,2005-03-19,1.96,Returned
