product_id,name,price,quantity,category,description,production_date,rating,status
1,Каша из кускуса,5949,69,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2007-01-07,3.86,Out of Stock
2,Ессентуки,2289,215,Напитки,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2002-03-05,4.33,New
3,Карамбола,7834,31,Фрукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1993-05-01,3.21,New
4,Варенец,8994,496,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2020-02-10,1.01,Temporarily Unavailable
5,Мацони,6340,62,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1999-01-11,1.86,Awaiting Review
6,Смородина,2795,990,Фрукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2003-03-15,1.41,Returned
7,Помидор,2435,996,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1992-01-06,2.57,Out of Stock
8,Сыр,6147,950,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2020-04-01,1.31,New
9,Пармезан,8224,524,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2003-01-01,4.28,Out of Stock
10,Моцарелла,922,254,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,2004-01-04,4.35,Returned
11,Безалкогольный мохито,5094,201,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1994-03-09,2.38,Out of Stock
12,Шаурма,5998,933,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2015-02-19,0.38,On Backorder
13,Ряженка,8304,99,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2007-08-15,4.04,Backorder
15,Пармезан,2794,307,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2005-09-01,3.92,Pending
16,Творог,9195,508,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1992-01-14,3.84,Cancelled
17,Кавказская,3808,924,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2000-03-05,1.22,Sold
18,Черешня,916,298,Фрукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1990-12-05,4.48,Awaiting Review
19,"Орехи (грецкий орех, миндаль, фундук)",6362,106,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2002-06-05,1.18,Delivered
20,Пакеты для Пасхи,9235,620,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,1994-01-02,1.92,Pending
21,Шалфей сушеный,1245,174,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2000-01-03,0.8,New
22,Картофель,7035,778,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2011-05-15,1.53,Awaiting Payment
23,Шпинат,5010,563,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1996-05-16,2.12,Delivered
24,Пастернак,981,177,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2018-02-09,3.19,Sold
25,Каймак,1315,153,Молочные продукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2006-07-24,0.72,In Stock
27,Масло сливочное,7956,356,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2017-03-10,1.47,New
28,Миргородская,6808,667,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1990-04-07,4.82,On Backorder
29,Ласси,7269,581,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2019-08-14,4.44,Pending
30,Наборы столовых приборов,3941,369,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2020-04-15,1.07,Pending
31,Капуста белокочанная,9617,333,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1991-03-21,0.34,New
32,Чизбургеры,7873,557,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2020-02-08,3.33,Sold
33,Pepsi Max,697,113,Напитки,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2003-03-09,0.34,Cancelled
34,Ножи столовые,8891,364,Товары для дома,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2005-05-14,2.24,Available for Pickup
35,Лук-порей,6223,922,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,2011-02-07,4.41,Sold
36,Крыжовник,7668,878,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2012-02-07,0.67,On Backorder
37,Окра,4465,207,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-01-24,4.5,New
38,Каймак,2718,84,Молочные продукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1995-02-01,1.96,Returned
40,Мыло твердое,4998,467,Товары для дома,Прошел проверку на соответствие экологическим нормам и стандартам.,1996-01-25,3.75,Sold
41,Пакеты бумажные,3882,143,Товары для дома,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1998-01-05,0.25,Cancelled
42,Тако с мясом,1056,982,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2003-02-23,4.37,Pending
43,Помидор,5463,140,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2009-01-28,3.18,In Stock
44,Красногорская,5199,719,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1993-09-03,4.33,Temporarily Unavailable
45,Свекла,3443,511,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2014-01-02,0.87,Refunded
46,Пятновыводитель,7596,720,Товары для дома,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2011-02-12,2.51,Returned
47,Нижнесергиевская,5428,826,Напитки,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2005-01-12,0.34,Available for Pickup
48,Бифштекс,3812,867,Мясо,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2008-04-04,0.81,Pending
49,Томатная паста,5535,18,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2019-01-01,2.32,Cancelled
50,Растительное масло рапсовое,6010,806,Бакалея,Подходит для людей с чувствительным пищеварением.,2008-01-02,2.12,Cancelled
51,Сливки,4454,483,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1995-04-01,3.77,Shipping
52,Рамбутан,5368,695,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2010-07-01,2.1,Shipping
53,Вологодская,2117,207,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2006-01-02,0.67,Temporarily Unavailable
54,Полотенца для рук,2871,148,Товары для дома,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",1998-10-17,4.64,Backorder
55,Глинтвейн,1858,523,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,2000-03-14,0.68,On Backorder
56,Пензенская,4822,696,Напитки,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2016-07-01,3.4,Returned
57,Латте,9960,754,Напитки,Отвечает всем современным стандартам качества и безопасности.,2014-03-01,0.55,Pending
58,Бекон,1632,733,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2018-06-12,1.91,Delivered
59,Сервелат,4573,593,Мясо,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2005-05-01,2.43,Temporarily Unavailable
60,Моцарелла,2355,718,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1991-08-08,4.9,Returned
61,Портулак,7112,203,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2010-10-15,0.33,Pending
62,Разрыхлитель теста,5542,965,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2001-08-23,3.34,Temporarily Unavailable
63,Гель для душа,4971,318,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2003-06-01,0.27,Pending
64,Пастернак,3535,565,Овощи,Подходит для использования в диетических программах для похудения.,2018-01-07,3.75,Pending
65,Папайя,5734,775,Фрукты,Отвечает всем современным стандартам качества и безопасности.,2017-10-01,3.1,Returned
66,Адыгейский сыр,3010,616,Молочные продукты,Способствует улучшению работы пищеварительной системы.,2004-01-06,2.81,Returned
68,Мацеста,5413,721,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2018-05-03,1.11,Backorder
69,Фета,2488,231,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2002-02-11,0.4,Refunded
70,Кисель ягодный,4465,833,Напитки,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2017-01-04,3.87,Backorder
71,Моющее средство для посуды,5624,254,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2001-05-09,2.72,Out of Stock
72,Сок ананасовый,8260,767,Напитки,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1998-02-08,1.73,Temporarily Unavailable
73,Помидор,6238,679,Овощи,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2005-07-04,2.62,Sold
